	skey	rstrt_nm	keywords
185	490	풍년복집	경남 극적 복국 복집 부근 사천시 삼천포 시장 아주 용궁 풍년 해장
186	492	삼천포추어탕	삼천포 추어탕 삭제 세차 투룸 특정 가능 거나 게시 게시판 곳도 공지 관련 광고 규칙 근처 글등 남편 남향 내용
187	493	대영장어	금구 맛찬 왕소 요리 육류 고기 번길 경기도 경상남도 부산광역시 북구 서울특별시 울산 중앙 경상북도 대구광역시 빌딩 광역시 사천 포차
188	495	원산면옥	면옥 원산 사천 차주
189	496	민물고기식당	식당 민물고기 산청 맛집 생초 매운탕 쏘가리 가장 메뉴 수제비 진짜 가을 국물 미국 사천 아주 원조 일신 추천 그대로
190	497	지리산마천흑돼지	기전 대패 돼지 마천 방문 지리산 초입 햇찰찬
191	500	두량할매집	맛집 사천 경남 매집 붕어 정말 메기 엑기스 추천 공무원 지인 참게 기력 매운탕 민물고기 방문 보충 사천시 에피타이저 용현면
192	504	경복궁숯불갈비	스냅 저녁 경원 돌잔치 숙박 판교 가능 가성 경복 경상남도 근처 놀이 대전 리스 메리어트 메리엇 방이 부탁 뷔페 삿뽀로
193	505	송화관	도움말 복사 영상 집밥 케이블카 가격 경남 광고 된장 불고기 석쇠 소요 이상 자동 재생 찌게 참고 코드 타고 트랙
194	507	남양토담오리	진주 가보 남양 신분 오리 토담
195	512	숲뫼정	거나 맛집 삭제 삼천포 추천 특정 게시 게시판 공지 관련 광고 규칙 글등 내용 단체 반드시 반복 불건전 비방 사상
196	513	초당돼지국밥	국밥집 사천 삼천포 자주
197	519	늘품한우	사천 맛집 한우 추천 경남 삭제 새해 육회 특정 매집 단체 모두 붕어 비빔밥 사람 소고기 가족 거나 게시 게시판
198	520	아리랑	각질 감사 관리 무시 미리 신랑 어마 추천
199	522	고쌈	도움말 복사 영상 이상 광고 사천 소요 자동 재생 코드 트랙 화질 간만 사공 스트레칭 워밍업 가기 경남 계단 계속
200	530	파피쉪	타파 파스 진주 블로그 작성 체험 금산 운영 후기 게시 마트 안내 금산면 진주시 개별 경력 경상남도 기간 내용 모집
201	531	지명전골	곱창전골 전골 가게 검색 곱창 공기 구이 네이버 넹맛 반찬 신랑 오늘 오우 저녁 전어 절대 지명
202	536	가람생복	체험 쉬즈 포스팅 당첨 블로그 사항 포함 후기 기간 김해시 내덕동 맛집 반드시 발표 방문 불가 예약 워드 전화 추가
203	538	가얏골감자탕(김해)	감자탕 맛집 가얏골 김해
